"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Italy","2023","Total","Both Sexes","Ancona","City proper","Estimate - de jure","Final figure, complete","2024","98950",""
"Italy","2023","Total","Both Sexes","Bari","City proper","Estimate - de jure","Final figure, complete","2024","316736",""
"Italy","2023","Total","Both Sexes","Bergamo","Urban agglomeration","Estimate - de jure","Final figure, complete","2024","119809",""
"Italy","2023","Total","Both Sexes","Bologna","City proper","Estimate - de jure","Final figure, complete","2024","389200",""
"Italy","2023","Total","Both Sexes","Bolzano","City proper","Estimate - de jure","Final figure, complete","2024","106410",""
"Italy","2023","Total","Both Sexes","Brescia","City proper","Estimate - de jure","Final figure, complete","2024","197236",""
"Italy","2023","Total","Both Sexes","Cagliari","Urban agglomeration","Estimate - de jure","Final figure, complete","2024","148296",""
"Italy","2023","Total","Both Sexes","Catania","Urban agglomeration","Estimate - de jure","Final figure, complete","2024","299730",""
"Italy","2023","Total","Both Sexes","Ferrara","City proper","Estimate - de jure","Final figure, complete","2024","129724",""
"Italy","2023","Total","Both Sexes","Firenze","City proper","Estimate - de jure","Final figure, complete","2024","362742",""
"Italy","2023","Total","Both Sexes","Foggia","City proper","Estimate - de jure","Final figure, complete","2024","146017",""
"Italy","2023","Total","Both Sexes","Forli","City proper","Estimate - de jure","Final figure, complete","2024","116726",""
"Italy","2023","Total","Both Sexes","Genova","City proper","Estimate - de jure","Final figure, complete","2024","561191",""
"Italy","2023","Total","Both Sexes","Latina","City proper","Estimate - de jure","Final figure, complete","2024","127719",""
"Italy","2023","Total","Both Sexes","Livorno","City proper","Estimate - de jure","Final figure, complete","2024","153859",""
"Italy","2023","Total","Both Sexes","Messina","City proper","Estimate - de jure","Final figure, complete","2024","219387",""
"Italy","2023","Total","Both Sexes","Milano","Urban agglomeration","Estimate - de jure","Final figure, complete","2024","3580530",""
"Italy","2023","Total","Both Sexes","Modena","City proper","Estimate - de jure","Final figure, complete","2024","184836",""
"Italy","2023","Total","Both Sexes","Napoli","Urban agglomeration","Estimate - de jure","Final figure, complete","2024","2809357",""
"Italy","2023","Total","Both Sexes","Novara","City proper","Estimate - de jure","Final figure, complete","2024","101797",""
"Italy","2023","Total","Both Sexes","Padova","City proper","Estimate - de jure","Final figure, complete","2024","207112",""
"Italy","2023","Total","Both Sexes","Palermo","City proper","Estimate - de jure","Final figure, complete","2024","632499",""
"Italy","2023","Total","Both Sexes","Parma","City proper","Estimate - de jure","Final figure, complete","2024","197018",""
"Italy","2023","Total","Both Sexes","Perugia","City proper","Estimate - de jure","Final figure, complete","2024","162367",""
"Italy","2023","Total","Both Sexes","Pescara","Urban agglomeration","Estimate - de jure","Final figure, complete","2024","118829",""
"Italy","2023","Total","Both Sexes","Piacenza","City proper","Estimate - de jure","Final figure, complete","2024","102728",""
"Italy","2023","Total","Both Sexes","Prato","City proper","Estimate - de jure","Final figure, complete","2024","196317",""
"Italy","2023","Total","Both Sexes","Ravenna","City proper","Estimate - de jure","Final figure, complete","2024","156050",""
"Italy","2023","Total","Both Sexes","Reggio di Calabria","City proper","Estimate - de jure","Final figure, complete","2024","171181",""
"Italy","2023","Total","Both Sexes","Reggio nell'Emilia","City proper","Estimate - de jure","Final figure, complete","2024","170451",""
"Italy","2023","Total","Both Sexes","Rimini","City proper","Estimate - de jure","Final figure, complete","2024","149681",""
"Italy","2023","Total","Both Sexes","ROMA","City proper","Estimate - de jure","Final figure, complete","2024","2755309",""
"Italy","2023","Total","Both Sexes","Salerno","City proper","Estimate - de jure","Final figure, complete","2024","127485",""
"Italy","2023","Total","Both Sexes","Sassari","City proper","Estimate - de jure","Final figure, complete","2024","121409",""
"Italy","2023","Total","Both Sexes","Siracusa","City proper","Estimate - de jure","Final figure, complete","2024","116635",""
"Italy","2023","Total","Both Sexes","Taranto","City proper","Estimate - de jure","Final figure, complete","2024","188310",""
"Italy","2023","Total","Both Sexes","Terni","City proper","Estimate - de jure","Final figure, complete","2024","106793",""
"Italy","2023","Total","Both Sexes","Torino","City proper","Estimate - de jure","Final figure, complete","2024","847398",""
"Italy","2023","Total","Both Sexes","Trento","City proper","Estimate - de jure","Final figure, complete","2024","118277",""
"Italy","2023","Total","Both Sexes","Trieste","City proper","Estimate - de jure","Final figure, complete","2024","199032",""
"Italy","2023","Total","Both Sexes","Venezia","City proper","Estimate - de jure","Final figure, complete","2024","250913",""
"Italy","2023","Total","Both Sexes","Verona","City proper","Estimate - de jure","Final figure, complete","2024","256049",""
"Italy","2023","Total","Both Sexes","Vicenza","City proper","Estimate - de jure","Final figure, complete","2024","110283",""
"Italy","2023","Total","Male","Ancona","City proper","Estimate - de jure","Final figure, complete","2024","48145",""
"Italy","2023","Total","Male","Bari","City proper","Estimate - de jure","Final figure, complete","2024","152301",""
"Italy","2023","Total","Male","Bergamo","Urban agglomeration","Estimate - de jure","Final figure, complete","2024","56794",""
"Italy","2023","Total","Male","Bologna","City proper","Estimate - de jure","Final figure, complete","2024","185376",""
"Italy","2023","Total","Male","Bolzano","City proper","Estimate - de jure","Final figure, complete","2024","51246",""
"Italy","2023","Total","Male","Brescia","City proper","Estimate - de jure","Final figure, complete","2024","94823",""
"Italy","2023","Total","Male","Cagliari","Urban agglomeration","Estimate - de jure","Final figure, complete","2024","69054",""
"Italy","2023","Total","Male","Catania","Urban agglomeration","Estimate - de jure","Final figure, complete","2024","144256",""
"Italy","2023","Total","Male","Ferrara","City proper","Estimate - de jure","Final figure, complete","2024","61738",""
"Italy","2023","Total","Male","Firenze","City proper","Estimate - de jure","Final figure, complete","2024","171345",""
"Italy","2023","Total","Male","Foggia","City proper","Estimate - de jure","Final figure, complete","2024","71748",""
"Italy","2023","Total","Male","Forli","City proper","Estimate - de jure","Final figure, complete","2024","56743",""
"Italy","2023","Total","Male","Genova","City proper","Estimate - de jure","Final figure, complete","2024","267715",""
"Italy","2023","Total","Male","Latina","City proper","Estimate - de jure","Final figure, complete","2024","62499",""
"Italy","2023","Total","Male","Livorno","City proper","Estimate - de jure","Final figure, complete","2024","74073",""
"Italy","2023","Total","Male","Messina","City proper","Estimate - de jure","Final figure, complete","2024","105264",""
"Italy","2023","Total","Male","Milano","Urban agglomeration","Estimate - de jure","Final figure, complete","2024","1741419",""
"Italy","2023","Total","Male","Modena","City proper","Estimate - de jure","Final figure, complete","2024","89527",""
"Italy","2023","Total","Male","Napoli","Urban agglomeration","Estimate - de jure","Final figure, complete","2024","1364161",""
"Italy","2023","Total","Male","Novara","City proper","Estimate - de jure","Final figure, complete","2024","49347",""
"Italy","2023","Total","Male","Padova","City proper","Estimate - de jure","Final figure, complete","2024","98855",""
"Italy","2023","Total","Male","Palermo","City proper","Estimate - de jure","Final figure, complete","2024","302271",""
"Italy","2023","Total","Male","Parma","City proper","Estimate - de jure","Final figure, complete","2024","95468",""
"Italy","2023","Total","Male","Perugia","City proper","Estimate - de jure","Final figure, complete","2024","77996",""
"Italy","2023","Total","Male","Pescara","Urban agglomeration","Estimate - de jure","Final figure, complete","2024","56192",""
"Italy","2023","Total","Male","Piacenza","City proper","Estimate - de jure","Final figure, complete","2024","49646",""
"Italy","2023","Total","Male","Prato","City proper","Estimate - de jure","Final figure, complete","2024","96106",""
"Italy","2023","Total","Male","Ravenna","City proper","Estimate - de jure","Final figure, complete","2024","75869",""
