Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
"Switzerland","NET-CH015A","OSTLUFT","CH0021A","Zürich-Schimmelstrasse","SPO-CH0021A_00008_100","NO2","Nitrogen dioxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2019","34.280","ug/m3","99.45","1","Traffic","Urban","8.5235","47.3709","415.0","Zürich (greater city)                                                           ","CH001K1                                           ","677118","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/CH/SPO-CH0021A_00008_100.parquet","hour"
"Switzerland","NET-CH003A","Nationales Beobachtungsnetz für Luftfremdstoffe","CH0011A","Lugano-Università","SPO-CH0011A_00007_500","O3","Ozone (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2019","56.960","ug/m3","100.00","1","Background","Urban","8.9571","46.0111","280.0","Lugano (greater city)                                                           ","CH009K1                                           ","88484","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/CH/SPO-CH0011A_00007_500.parquet","hour"
"Switzerland","NET-CH015A","OSTLUFT","CH0058A","Zürich-Rosengartenstrasse","SPO-CH0058A_00008_100","NO2","Nitrogen dioxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2019","43.970","ug/m3","100.00","1","Traffic","Urban","8.5261","47.3952","433.0","Zürich (greater city)                                                           ","CH001K1                                           ","677118","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/CH/SPO-CH0058A_00008_100.parquet","hour"
"Switzerland","NET-CH016A","inLUFT","CH0056A","Luzern-Moosstrasse","SPO-CH0056A_00008_100","NO2","Nitrogen dioxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2019","33.973","ug/m3","100.00","1","Traffic","Urban","8.3044","47.0458","441.0","Luzern (greater city)                                                           ","CH008K1                                           ","160566","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/CH/SPO-CH0056A_00008_100.parquet","hour"
"Switzerland","NET-CH015A","OSTLUFT","CH0057A","St-Gallen-Blumenbergplatz","SPO-CH0057A_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2019","11.661","ug/m3","100.00","1","Traffic","Urban","9.3740","47.4271","675.0","St. Gallen                                                                      ","CH007C1                                           ","75522","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/CH/SPO-CH0057A_00005_100.parquet","day"
"Switzerland","NET-CH003A","Nationales Beobachtungsnetz für Luftfremdstoffe","CH0028A","Lausanne-César-Roux","SPO-CH0028A_00008_100","NO2","Nitrogen dioxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2019","32.739","ug/m3","100.00","1","Traffic","Urban","6.6396","46.5220","530.0","Lausanne (greater city)                                                         ","CH005K1                                           ","250937","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/CH/SPO-CH0028A_00008_100.parquet","hour"
"Switzerland","NET-CH003A","Nationales Beobachtungsnetz für Luftfremdstoffe","CH0005R","Rigi-Seebodenalp","SPO-CH0005R_00010_100","CO","Carbon monoxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2019","0.154","mg/m3","100.00","1","Background","Rural","8.4633","47.0674","1031.0","","","","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/CH/SPO-CH0005R_00010_100.parquet","hour"
"Switzerland","NET-CH003A","Nationales Beobachtungsnetz für Luftfremdstoffe","CH0005R","Rigi-Seebodenalp","SPO-CH0005R_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2019","3.894","ug/m3","100.00","1","Background","Rural","8.4633","47.0674","1031.0","","","","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/CH/SPO-CH0005R_06001_100.parquet","day"
"Switzerland","NET-CH003A","Nationales Beobachtungsnetz für Luftfremdstoffe","CH0003R","Tänikon","SPO-CH0003R_00009_100","NOX as NO2","Nitrogen oxides (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2019","10.760","ug/m3","100.00","1","Background","Rural","8.9047","47.4798","538.0","","","","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/CH/SPO-CH0003R_00009_100.parquet","hour"
"Switzerland","NET-CH003A","Nationales Beobachtungsnetz für Luftfremdstoffe","CH0004R","Chaumont","SPO-CH0004R_00009_100","NOX as NO2","Nitrogen oxides (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2019","4.577","ug/m3","98.63","1","Background","Rural","6.9792","47.0495","1136.0","","","","E1a/validated data AQ e-Reporting","19/02/2026 22:59:02","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/CH/SPO-CH0004R_00009_100.parquet","hour"
