openaq_id,date,Year,Month,PM2_5,PM2_5_lag1,PM2_5_lag2,PM2_5_lag3,PM2_5_roll3_mean,PM2_5_roll3_std,PM10_lag1,NO2_lag1,O3_lag1,Temp_Mean_lag1,Wind_Speed_lag1,Precipitation_lag1,month_num,month_sin,month_cos,Green_Ratio,Latitude,Longitude
IT0459A,2020-07-01,2020,7,8.13,8.42,6.41,8.32,7.716666666666666,1.1327106132341718,21.6,23.9,61.4,21.836666666666662,9.896666666666668,59.2,7,-0.4999999999999998,-0.8660254037844388,0.8130590801186771,43.5989,13.3419
IT0459A,2020-08-01,2020,8,7.74,8.13,8.42,6.41,7.653333333333333,1.0864774886454545,20.4,20.1,56.5,24.532258064516128,9.580645161290322,28.6,8,-0.8660254037844384,-0.5000000000000004,0.8130590801186771,43.5989,13.3419
IT0459A,2020-09-01,2020,9,7.2,7.74,8.13,8.42,8.096666666666666,0.34122328955294606,20.0,27.2,53.0,25.606451612903225,10.080645161290322,65.19999999999999,9,-1.0,-1.8369701987210297e-16,0.8130590801186771,43.5989,13.3419
IT0459A,2020-10-01,2020,10,24.9,7.2,7.74,8.13,7.69,0.4670117771534263,16.9,28.6,35.6,20.91,9.833333333333334,57.8,10,-0.8660254037844386,0.5000000000000001,0.8130590801186771,43.5989,13.3419
IT0459A,2020-11-01,2020,11,18.4,24.9,7.2,7.74,13.28,10.066836643156575,36.4,29.3,26.0,14.580645161290322,8.735483870967743,52.8,11,-0.5000000000000004,0.8660254037844384,0.8130590801186771,43.5989,13.3419
IT0459A,2020-12-01,2020,12,21.5,18.4,24.9,7.2,16.833333333333332,8.953397865242742,26.5,26.3,29.1,11.09,9.396666666666668,48.7,12,-2.4492935982947064e-16,1.0,0.8130590801186771,43.5989,13.3419
IT0459A,2021-01-01,2021,1,22.1,21.5,18.4,24.9,21.599999999999998,3.251153641401765,26.7,19.9,32.5,7.819354838709677,10.661290322580646,82.2,1,0.49999999999999994,0.8660254037844387,0.8130590801186771,43.5989,13.3419
IT0459A,2021-02-01,2021,2,18.9,22.1,21.5,18.4,20.666666666666664,1.9857828011475205,29.2,17.6,40.7,5.206451612903226,10.05483870967742,62.5,2,0.8660254037844386,0.5000000000000001,0.8130590801186771,43.5989,13.3419
IT0459A,2021-03-01,2021,3,13.9,18.9,22.1,21.5,20.833333333333332,1.7009801096230652,24.3,14.1,52.5,8.389285714285714,10.360714285714286,22.8,3,1.0,6.123233995736766e-17,0.8130590801186771,43.5989,13.3419
IT0459A,2021-04-01,2021,4,9.56,13.9,18.9,22.1,18.3,4.132795663954361,16.2,14.3,58.1,8.703225806451613,10.25483870967742,36.5,4,0.8660254037844387,-0.49999999999999983,0.8130590801186771,43.5989,13.3419
