Air Quality Station EoI Code,Year,NO2,O3,PM10,PM2_5,Altitude,Latitude,Longitude,Station_Type,Station_Area,City,Green_Ratio,Population_Density
IT0459A,2015,26.008,40.896,26.225,11.321,15.0,43.5989,13.3419,Background,Suburban,Chiaravalle,0.8130590801186771,788.0
IT0459A,2016,23.654,41.158,22.392,9.496,15.0,43.5989,13.3419,Background,Suburban,Chiaravalle,0.8130590801186771,788.0
IT0459A,2017,25.579,49.442,21.329,9.133,15.0,43.5989,13.3419,Background,Suburban,Chiaravalle,0.8130590801186771,788.0
IT0459A,2018,28.517,44.71,24.763,10.488,15.0,43.5989,13.3419,Background,Suburban,Chiaravalle,0.8130590801186771,788.0
IT0459A,2019,25.85,44.975,24.117,11.696,15.0,43.5989,13.3419,Background,Suburban,Chiaravalle,0.8130590801186771,788.0
IT0459A,2020,26.067,50.091,22.971,10.009,15.0,43.5989,13.3419,Background,Suburban,Chiaravalle,0.8130590801186771,788.0
IT0459A,2021,17.075,44.713,23.232,12.925,15.0,43.5989,13.3419,Background,Suburban,Chiaravalle,0.8130590801186771,788.0
IT0459A,2022,20.85,31.883,31.5,16.346,15.0,43.5989,13.3419,Background,Suburban,Chiaravalle,0.8130590801186771,788.0
IT0459A,2023,22.229,40.613,30.346,15.388,15.0,43.5989,13.3419,Background,Suburban,Chiaravalle,0.8130590801186771,788.0
IT0459A,2024,17.927,40.975,27.113,18.346,15.0,43.5989,13.3419,Background,Suburban,Chiaravalle,0.8130590801186771,788.0
IT0460A,2015,27.233,,34.067,14.475,100.0,43.5269,13.245,Traffic,Urban,Jesi,0.8882385191666631,363.0
IT0460A,2016,30.104,,25.221,13.067,100.0,43.5269,13.245,Traffic,Urban,Jesi,0.8882385191666631,363.0
IT0460A,2017,28.091,,23.158,18.908,100.0,43.5269,13.245,Traffic,Urban,Jesi,0.8882385191666631,363.0
IT0460A,2023,23.196,,17.3,13.679,100.0,43.5269,13.245,Traffic,Urban,Jesi,0.8882385191666631,363.0
IT0460A,2024,24.283,,17.4,10.9,100.0,43.5269,13.245,Traffic,Urban,Jesi,0.8882385191666631,363.0
IT0461A,2015,21.879,53.375,30.446,15.308,10.0,43.6333,13.3875,Industrial,Suburban,Falconara Marittima,0.6266168569144129,996.0
IT0461A,2016,22.713,53.346,24.471,15.842,10.0,43.6333,13.3875,Industrial,Suburban,Falconara Marittima,0.6266168569144129,996.0
IT0461A,2017,26.478,,20.9,9.881,10.0,43.6333,13.3875,Industrial,Suburban,Falconara Marittima,0.6266168569144129,996.0
IT0461A,2018,25.892,,21.7,11.258,10.0,43.6333,13.3875,Industrial,Suburban,Falconara Marittima,0.6266168569144129,996.0
IT0461A,2019,26.146,,22.9,12.913,10.0,43.6333,13.3875,Industrial,Suburban,Falconara Marittima,0.6266168569144129,996.0
IT0461A,2020,24.7,,20.3,10.292,10.0,43.6333,13.3875,Industrial,Suburban,Falconara Marittima,0.6266168569144129,996.0
IT0461A,2021,16.488,,16.5,9.767,10.0,43.6333,13.3875,Industrial,Suburban,Falconara Marittima,0.6266168569144129,996.0
IT0461A,2022,23.196,,15.2,10.867,10.0,43.6333,13.3875,Industrial,Suburban,Falconara Marittima,0.6266168569144129,996.0
IT0461A,2023,19.813,,16.3,12.292,10.0,43.6333,13.3875,Industrial,Suburban,Falconara Marittima,0.6266168569144129,996.0
IT0461A,2024,21.3,,19.2,15.129,10.0,43.6333,13.3875,Industrial,Suburban,Falconara Marittima,0.6266168569144129,996.0
IT0470A,2015,62.792,,32.0,19.0,233.0,45.1041,7.6953,Traffic,Urban,Torino,0.2272830473160316,6513.0
IT0470A,2016,65.208,,29.0,21.0,233.0,45.1041,7.6953,Traffic,Urban,Torino,0.2272830473160316,6513.0
IT0470A,2017,79.125,,35.0,23.0,233.0,45.1041,7.6953,Traffic,Urban,Torino,0.2272830473160316,6513.0
IT0470A,2018,54.083,,32.0,20.0,233.0,45.1041,7.6953,Traffic,Urban,Torino,0.2272830473160316,6513.0
IT0470A,2019,54.292,,26.0,20.0,233.0,45.1041,7.6953,Traffic,Urban,Torino,0.2272830473160316,6513.0
IT0470A,2020,43.042,,27.0,15.0,233.0,45.1041,7.6953,Traffic,Urban,Torino,0.2272830473160316,6513.0
IT0470A,2021,44.417,,26.0,18.0,233.0,45.1041,7.6953,Traffic,Urban,Torino,0.2272830473160316,6513.0
IT0470A,2022,44.833,,31.0,18.0,233.0,45.1041,7.6953,Traffic,Urban,Torino,0.2272830473160316,6513.0
IT0470A,2023,41.875,,27.0,16.0,233.0,45.1041,7.6953,Traffic,Urban,Torino,0.2272830473160316,6513.0
