Air Pollutant,count
NO2,116548
O3,96952
PM10,71666
SO2,46146
CO,27382
PM2.5,27332
NOX as NO2,17314
C6H6,16287
NO,13008
BaP in PM10,5651
Cd in PM10,4688
As in PM10,4665
Ni in PM10,4450
Pb in PM10,4448
C6H5-CH3,3029
o-C6H4-(CH3)2,2869
C6H5-C2H5,1855
"m,p-C6H4(CH3)2",1784
H2S,371
C6H4-(CH3)2,236
CH4,217
THC (NM),209
m-C6H4-(CH3)2,175
p-C6H4(CH3)2,175
Benzo(j)fluoranthene in PM10,117
Benzo(b)fluoranthene in PM10,117
Benzo(a)anthracene in PM10,117
Dibenzo(ah)anthracene in PM10,117
Benzo(k)fluoranthene in PM10,117
"Indeno-(1,2,3-cd)pyrene in PM",117
SPM,77
PM1,77
"1,3,5-C6H3(CH3)3",49
C8H18,28
Hg in PM10,28
C6H14,28
C7H16,28
PAH,7
