Data Aggregation Process,count
Annual mean / 1 calendar year,36388
1 year day min,34876
1 year day max,34876
1 year 50 %ile of daily values in a year,34837
1 year hour max,22716
1 year hour min,22716
1 year 50 percentile,22687
1 year 99 percentile of daily means (P1D) or .../aq/primaryObservation/day,21308
3 subsequent calendar years mean,21087
1 year 95.07 percentile of daily means (P1D) or .../aq/primaryObservation/day,17960
1 year day exceed 50,15857
1 year 99.97 %ile of hourly values in a given year,8323
AOT40 vegetation protection,6647
1 year hour max19,6131
1 year hour exceed 150,6128
