feature,coef,abs_coef
cat__Station_Area_Suburban,2.5515531324463856,2.5515531324463856
num__month_cos,2.1272600359315197,2.1272600359315197
num__Altitude,-1.9962402171080333,1.9962402171080333
cat__Season_Winter,1.9740810782418436,1.9740810782418436
cat__Season_Spring,-1.827424586845276,1.827424586845276
num__Temp_Mean,-1.7976654896495508,1.7976654896495508
cat__Station_Type_Industrial,-1.7477971423167504,1.7477971423167504
num__Temp_Mean_lag1,1.6289385812722672,1.6289385812722672
num__Longitude,1.5112300085017925,1.5112300085017925
cat__Station_Area_Rural,-1.45384163000048,1.45384163000048
num__Wind_Speed,-1.445025055820154,1.445025055820154
cat__Station_Type_Traffic,1.2239507628250235,1.2239507628250235
cat__Station_Area_Urban,-1.0977115024651454,1.0977115024651454
num__Population_Density,1.0479185390354968,1.0479185390354968
num__Latitude,0.787117009003443,0.787117009003443
num__Green_Ratio,0.6044740158445079,0.6044740158445079
cat__Station_Type_Background,0.5238463794718381,0.5238463794718381
num__Precipitation_lag1,0.40942588016423526,0.40942588016423526
num__Wind_Speed_lag1,-0.18883499719220515,0.18883499719220515
num__Precipitation,-0.1849599508261867,0.1849599508261867
cat__Season_Summer,-0.12335271491847209,0.12335271491847209
num__month_sin,0.03545185611512805,0.03545185611512805
cat__Season_Autumn,-0.023303776299465746,0.023303776299465746
