feature,mean_abs_shap
num__month_cos,4.539424879549561
num__Latitude,2.439411679556969
num__Longitude,2.2092784712763116
num__Temp_Mean,1.2370862233806696
num__Altitude,0.8039180523570182
num__Precipitation,0.4311644836860449
num__Wind_Speed,0.3834912783916169
num__Wind_Speed_lag1,0.3770443882852785
num__Precipitation_lag1,0.34440413933380243
num__Temp_Mean_lag1,0.3325405897097108
num__Green_Ratio,0.2788912612600977
num__month_sin,0.26529301219307366
num__Population_Density,0.23268911672778575
cat__Station_Area_Rural,0.17653087986619778
cat__Station_Area_Suburban,0.16991845066121627
cat__Season_Autumn,0.13735912772022685
cat__Station_Type_Background,0.05365269881744732
cat__Station_Type_Traffic,0.05340970711701907
cat__Season_Winter,0.04510605932446737
cat__Season_Summer,0.039818650874473255
cat__Station_Area_Urban,0.024897537431633244
cat__Station_Type_Industrial,0.011282738122528455
cat__Season_Spring,0.009047219470375725
