feature,mean_abs_shap,ridge_coef,abs_ridge_coef,rank_shap_a,rank_abs_ridge,ridge_direction
num__month_cos,4.539424879549561,2.127260035931572,2.127260035931572,1,2,increase
num__Latitude,2.439411679556969,0.7871170090034484,0.7871170090034484,2,15,increase
num__Longitude,2.2092784712763116,1.511230008501792,1.511230008501792,3,9,increase
num__Temp_Mean,1.2370862233806696,-1.7976654896495132,1.7976654896495132,4,6,decrease
num__Altitude,0.8039180523570182,-1.996240217108025,1.996240217108025,5,3,decrease
num__Precipitation,0.4311644836860449,-0.1849599508261858,0.1849599508261858,6,20,decrease
num__Wind_Speed,0.3834912783916169,-1.4450250558201614,1.4450250558201614,7,11,decrease
num__Wind_Speed_lag1,0.3770443882852785,-0.18883499719220095,0.18883499719220095,8,19,decrease
num__Precipitation_lag1,0.34440413933380243,0.40942588016423254,0.40942588016423254,9,18,increase
num__Temp_Mean_lag1,0.3325405897097108,1.6289385812722588,1.6289385812722588,10,8,increase
num__Green_Ratio,0.2788912612600977,0.6044740158445107,0.6044740158445107,11,16,increase
num__month_sin,0.26529301219307366,0.03545185611514849,0.03545185611514849,12,22,increase
num__Population_Density,0.23268911672778575,1.0479185390354977,1.0479185390354977,13,14,increase
cat__Station_Area_Rural,0.17653087986619778,-1.453841630000443,1.453841630000443,14,10,decrease
cat__Station_Area_Suburban,0.16991845066121627,2.5515531324464384,2.5515531324464384,15,1,increase
cat__Season_Autumn,0.13735912772022685,-0.023303776300712505,0.023303776300712505,16,23,decrease
cat__Station_Type_Background,0.05365269881744732,0.5238463794725219,0.5238463794725219,17,17,increase
cat__Station_Type_Traffic,0.05340970711701907,1.2239507628257078,1.2239507628257078,18,12,increase
cat__Season_Winter,0.04510605932446737,1.974081078240558,1.974081078240558,19,4,increase
cat__Season_Summer,0.039818650874473255,-0.12335271491967936,0.12335271491967936,20,21,decrease
cat__Station_Area_Urban,0.024897537431633244,-1.0977115024650963,1.0977115024650963,21,13,decrease
cat__Station_Type_Industrial,0.011282738122528455,-1.7477971423160694,1.7477971423160694,22,7,decrease
cat__Season_Spring,0.009047219470375725,-1.8274245868465013,1.8274245868465013,23,5,decrease
