feature,mean_abs_shap,ridge_coef,abs_ridge_coef,ridge_direction,rank_shap,rank_abs_ridge
num__PM2_5_lag1,3.5892239625952245,1.735138160487839,1.735138160487839,increase,1,5
num__month_cos,1.48037144089942,1.349500147806834,1.349500147806834,increase,2,6
num__month_sin,1.0996052754875452,-1.8666352518767027,1.8666352518767027,decrease,3,4
num__Longitude,0.715170951860999,0.9336313481066852,0.9336313481066852,increase,4,12
num__PM2_5_lag2,0.6616277825325204,3.573585161074945,3.573585161074945,increase,5,1
num__Temp_Mean_lag1,0.5035569543034429,0.8457144665387324,0.8457144665387324,increase,6,13
num__Precipitation,0.46235014853128625,0.4123818413095783,0.4123818413095783,increase,7,24
num__Temp_Mean,0.4315507570923658,-1.1614820782873398,1.1614820782873398,decrease,8,9
num__PM2_5_roll3_mean,0.43012763857115127,1.3399368860774157,1.3399368860774157,increase,9,7
num__NO2_lag1,0.3261717821126776,-0.717049900744717,0.717049900744717,decrease,10,15
num__Precipitation_lag1,0.306098612185064,0.6609429656605884,0.6609429656605884,increase,11,19
num__Wind_Speed_lag1,0.27177310597967336,0.6283183679911096,0.6283183679911096,increase,12,21
num__Wind_Speed,0.22190945263884132,-1.1550373577746103,1.1550373577746103,decrease,13,10
num__PM2_5_roll3_std,0.19842725040797096,2.0394830974890947,2.0394830974890947,increase,14,3
num__Latitude,0.1867904342578533,0.4714438966353558,0.4714438966353558,increase,15,23
num__PM2_5_lag3,0.1621739158855655,-2.1997923373714268,2.1997923373714268,decrease,16,2
num__Altitude,0.12031902581120997,-0.6856881490385188,0.6856881490385188,decrease,17,18
num__O3_lag1,0.11211151094545281,-0.7109161990642128,0.7109161990642128,decrease,18,16
num__PM10_lag1,0.09582815811272218,1.1987650510319163,1.1987650510319163,increase,19,8
num__Green_Ratio,0.049619934734728005,-0.07158453961696966,0.07158453961696966,decrease,20,26
num__Population_Density,0.048347779262275584,0.24731801489319194,0.24731801489319194,increase,21,25
cat__Station_Area_Urban,0.03282308423397206,-0.5190506691218306,0.5190506691218306,decrease,22,22
cat__Station_Area_Suburban,0.025674354366784665,1.151080932636688,1.151080932636688,increase,23,11
cat__Station_Type_Background,0.016136819998887584,0.04750216510077375,0.04750216510077375,increase,24,27
cat__Station_Type_Industrial,0.014706236708067012,-0.7535853919869351,0.7535853919869351,decrease,25,14
cat__Station_Type_Traffic,0.011043087752755516,0.7060832268463946,0.7060832268463946,increase,26,17
cat__Station_Area_Rural,0.006003482452444225,-0.6320302634742121,0.6320302634742121,decrease,27,20
