,coef
num__PM2_5_lag2,3.573585161074945
num__PM2_5_lag3,-2.1997923373714268
num__PM2_5_roll3_std,2.0394830974890947
num__month_sin,-1.8666352518767027
num__PM2_5_lag1,1.735138160487839
num__month_cos,1.349500147806834
num__PM2_5_roll3_mean,1.3399368860774157
num__PM10_lag1,1.1987650510319163
num__Temp_Mean,-1.1614820782873398
num__Wind_Speed,-1.1550373577746103
cat__Station_Area_Suburban,1.151080932636688
num__Longitude,0.9336313481066852
num__Temp_Mean_lag1,0.8457144665387324
cat__Station_Type_Industrial,-0.7535853919869351
num__NO2_lag1,-0.717049900744717
num__O3_lag1,-0.7109161990642128
cat__Station_Type_Traffic,0.7060832268463946
num__Altitude,-0.6856881490385188
num__Precipitation_lag1,0.6609429656605884
cat__Station_Area_Rural,-0.6320302634742121
num__Wind_Speed_lag1,0.6283183679911096
cat__Station_Area_Urban,-0.5190506691218306
num__Latitude,0.4714438966353558
num__Precipitation,0.4123818413095783
num__Population_Density,0.24731801489319194
num__Green_Ratio,-0.07158453961696966
cat__Station_Type_Background,0.04750216510077375
