eoi_code,city,lat,lon,openaq_found,openaq_id,openaq_name
IT0459A,Chiaravalle,43.5989,13.3419,1,8223.0,CHIARAVALLE2
IT0460A,Jesi,43.5269,13.245,1,8460.0,JESI
IT0461A,Falconara Marittima,43.6333,13.3875,1,8459.0,FALCONARA SCUOLA
IT0470A,Torino,45.1041,7.6953,1,8456.0,Torino - Rebaudengo
IT0477A,Milano (greater city),45.4956,9.1914,1,8357.0,MILANO - V.LE MARCHE
IT0480A,Milano (greater city),45.5339,9.2364,1,8356.0,SESTO S.GIOVANNI
IT0499A,Laces/Latsch,46.6195,10.8591,1,7648.0,LA1 Laces
IT0591A,Rovereto,45.8924,11.0394,1,8454.0,ROVERETO LGP
IT0594A,Brescia,45.5408,10.2236,2,8277.0,BRESCIA – VIA TARTAGLIA
IT0614A,Priolo Gargallo,37.1561,15.1909,1,2162969.0,Priolo
IT0663A,Schio,45.7144,11.3686,1,8451.0,SCHIO
IT0692A,Sannazzaro de' Burgondi,45.1017,8.9056,1,8007.0,SANNAZZARO
IT0703A,Borgo Valsugana,46.0518,11.4539,1,8450.0,BORGO VAL
IT0707A,Bergamo,45.6903,9.6439,1,8346.0,BERGAMO - VIA MEUCCI
IT0771A,Como,45.8044,9.0836,1,8128.0,COMO - VIALE CATTANEO
IT0777A,Merate,45.698,9.4062,2,8338.0,MERATE
IT0778A,Treviglio,45.5183,9.5914,2,8336.0,TREVIGLIO
IT0804A,Parma,44.7936,10.3317,-1,,
IT0825A,Roma,41.9474,12.4696,2,7530.0,C.SO FRANCIA
IT0840A,Soresina,45.2847,9.8642,1,8330.0,SORESINA
IT0854A,Genova,44.4182,8.9274,2,221509.0,IT0854A
IT0858A,Genova,44.3949,8.9915,2,160589.0,IT0858A
IT0861A,Firenze,43.7731,11.2722,1,8030.0,FI-GRAMSCI
IT0862A,Firenze,43.7867,11.2875,1,8447.0,FI-BASSI
IT0863A,Viterbo,42.4221,12.1092,2,7543.0,VITERBO
IT0867A,Rieti,42.4047,12.8578,3,7541.0,Rieti 1
IT0871A,Ferentino,41.6879,13.2656,1,2162860.0,FERENTINO
IT0885A,Civitavecchia,42.0916,11.8025,-1,,
IT0887A,Guidonia Montecelio,41.9956,12.7266,3,7546.0,Guidonia
IT0889A,Colleferro,41.725,13.0097,4,7526.0,COLLEFERRO EUROPA
IT0892A,Bologna,44.4833,11.355,2,7602.0,GIARDINI MARGHERITA
IT0898A,Napoli (greater city),40.8542,14.2513,3,8408.0,IT1497A
IT0903A,Castellarano,44.5161,10.7339,1,7609.0,CASTELLARANO
IT0908A,Bormio,46.4703,10.3725,1,8443.0,BORMIO
IT0912A,Pavia,45.1939,9.1647,1,8313.0,PAVIA - VIA FOLPERTI
IT0934A,Benevento,41.1315,14.7894,1,2162880.0,Via Mustilli
IT0940A,Reggio nell'Emilia,44.6908,10.6647,2,7619.0,S. LAZZARO
IT0945A,Prato,43.8747,11.1053,1,8441.0,PO-FERRUCCI
IT0950A,Arezzo,43.4611,11.8889,1,8440.0,AR-ACROPOLI
IT0952A,Roma,41.8895,12.2663,1,7551.0,CASTEL DI GUIDO
IT0953A,Roma,41.9329,12.5069,2,7540.0,VILLA ADA
