openaq_id,sensor_id,parameter,col_name,date_first,date_last
8223,24570,o3,O3,2020-05-06,2026-04-10
8223,24571,no2,NO2,2020-05-06,2026-04-10
8223,24568,pm25,PM2_5,2020-05-06,2026-04-10
8223,24569,pm10,PM10,2020-05-06,2026-04-10
8460,2142719,pm25,PM2_5,2022-11-21,2026-04-10
8460,24565,no2,NO2,2020-05-06,2026-04-10
8460,24562,pm10,PM10,2020-05-06,2026-02-24
8459,24558,pm25,PM2_5,2020-05-06,2026-04-10
8459,24559,o3,O3,2020-05-06,2026-01-08
8459,24560,no2,NO2,2020-05-06,2026-04-10
8459,8613070,pm10,PM10,2024-03-18,2026-02-24
8456,24552,no2,NO2,2020-05-06,2026-04-10
8357,24282,no2,NO2,2020-05-06,2026-04-10
8357,7774326,pm25,PM2_5,2024-01-28,2026-04-10
8357,7775924,pm10,PM10,2024-01-28,2026-04-10
8356,24280,no2,NO2,2020-05-06,2026-04-10
8356,7774921,pm25,PM2_5,2024-01-28,2026-04-07
7648,22263,pm10,PM10,2020-05-13,2026-04-10
7648,22257,pm25,PM2_5,2020-05-06,2026-04-10
8454,24543,pm10,PM10,2020-05-06,2026-04-10
8454,24544,no2,NO2,2020-05-06,2026-04-10
8454,24542,pm25,PM2_5,2020-05-06,2026-04-10
8277,24101,no2,NO2,2020-05-06,2026-04-10
8277,7773803,pm10,PM10,2024-01-28,2026-04-10
8277,9323263,pm25,PM2_5,2024-05-20,2026-04-10
2162969,7773690,no2,NO2,2024-01-28,2026-04-10
8451,24538,o3,O3,2020-05-06,2025-12-17
8451,24539,no2,NO2,2020-05-06,2025-12-17
8007,23231,no2,NO2,2020-05-06,2026-04-10
8007,7772744,pm25,PM2_5,2024-01-28,2026-04-10
8007,7775967,pm10,PM10,2024-01-28,2026-04-10
8450,24536,o3,O3,2020-05-06,2026-04-10
8450,24535,pm10,PM10,2020-05-06,2026-04-10
8450,24537,no2,NO2,2020-05-06,2026-04-10
8450,24534,pm25,PM2_5,2020-05-06,2026-04-10
8346,24260,no2,NO2,2020-05-06,2026-04-10
8346,24259,o3,O3,2020-05-06,2026-04-10
8346,7775798,pm10,PM10,2024-01-28,2026-04-07
8346,7775099,pm25,PM2_5,2024-01-28,2026-04-07
8128,24241,no2,NO2,2020-05-06,2026-04-10
8128,7776031,pm10,PM10,2024-01-28,2026-04-10
8128,7775618,pm25,PM2_5,2024-01-28,2026-04-10
8128,8613078,o3,O3,2024-03-18,2026-04-10
8338,7774003,pm25,PM2_5,2024-01-28,2026-04-07
8338,7774617,no2,NO2,2024-01-28,2026-04-10
8338,7775388,pm10,PM10,2024-01-28,2026-04-07
8336,7775061,no2,NO2,2024-01-28,2026-04-10
8336,8622697,pm10,PM10,2024-03-18,2026-04-07
8336,8622694,pm25,PM2_5,2024-03-18,2026-04-07
7530,21874,no2,NO2,2018-01-29,2026-04-10
7530,21846,pm25,PM2_5,2018-01-28,2026-04-08
7530,21808,pm10,PM10,2018-01-28,2026-04-08
8330,7775291,pm25,PM2_5,2024-01-28,2026-04-07
8330,7775712,pm10,PM10,2024-01-28,2026-04-07
8330,7773169,no2,NO2,2024-01-28,2026-04-10
221509,1287768,no2,NO2,2021-02-28,2024-01-28
160589,852556,o3,O3,2021-01-20,2024-01-28
160589,1560115,no2,NO2,2021-03-01,2024-01-28
8030,5078863,no2,NO2,2022-10-04,2025-03-24
8030,5079209,pm10,PM10,2023-05-06,2025-03-25
8030,5079210,pm25,PM2_5,2023-05-06,2025-03-25
8447,5078287,pm25,PM2_5,2023-05-06,2026-04-03
8447,24526,no2,NO2,2020-05-06,2026-04-10
8447,5078269,pm10,PM10,2023-05-06,2026-04-03
7543,21827,pm25,PM2_5,2018-01-28,2026-04-08
7543,21826,pm10,PM10,2018-01-28,2026-04-08
7543,21868,no2,NO2,2018-01-29,2026-04-10
7543,21918,o3,O3,2018-01-29,2024-05-16
7541,21823,pm25,PM2_5,2018-01-28,2026-04-08
7541,21822,pm10,PM10,2018-01-28,2026-04-08
7541,21910,o3,O3,2018-01-29,2022-12-28
7541,21911,no2,NO2,2018-01-29,2026-04-09
2162860,7772895,no2,NO2,2024-01-28,2026-04-10
7546,21872,no2,NO2,2018-01-29,2026-04-09
7546,21832,pm10,PM10,2018-01-28,2026-04-08
7546,21833,pm25,PM2_5,2018-01-28,2026-04-08
7526,21811,pm10,PM10,2018-01-28,2026-04-08
7526,21892,no2,NO2,2018-01-29,2026-04-10
7526,21802,pm25,PM2_5,2018-08-06,2026-04-08
7602,22066,pm10,PM10,2017-11-01,2020-05-05
7602,22105,pm25,PM2_5,2020-03-28,2020-05-05
7602,22172,no2,NO2,2017-11-01,2020-05-05
7602,22065,o3,O3,2017-11-01,2020-05-05
8408,24412,no2,NO2,2020-05-06,2024-01-29
8408,24411,o3,O3,2020-05-06,2024-01-29
7609,22090,o3,O3,2017-11-01,2026-04-07
7609,22088,pm25,PM2_5,2020-03-28,2020-05-05
7609,22089,pm10,PM10,2017-11-01,2020-05-05
7609,22091,no2,NO2,2017-11-01,2026-04-07
8443,24508,o3,O3,2020-05-06,2026-04-10
8443,24509,no2,NO2,2020-05-06,2026-04-10
8443,7773584,pm25,PM2_5,2024-01-28,2026-04-07
8443,7775010,pm10,PM10,2024-01-28,2026-04-07
8313,24184,no2,NO2,2020-05-06,2026-02-05
8313,24183,o3,O3,2020-05-06,2026-02-05
8313,7774775,pm25,PM2_5,2024-01-28,2026-02-05
8313,7776020,pm10,PM10,2024-01-28,2026-02-05
2162880,7775217,pm10,PM10,2024-01-28,2026-04-10
2162880,7773548,no2,NO2,2024-01-28,2026-04-10
2162880,7775039,pm25,PM2_5,2024-01-28,2026-04-10
7619,22117,pm10,PM10,2017-11-01,2020-05-05
7619,22201,o3,O3,2020-01-04,2020-05-05
7619,22118,pm25,PM2_5,2020-03-28,2020-05-05
7619,22200,no2,NO2,2017-11-01,2020-05-05
8441,5078286,pm25,PM2_5,2023-05-06,2026-04-03
8441,5078295,pm10,PM10,2023-05-06,2026-04-03
8441,24503,no2,NO2,2020-05-08,2026-04-10
8440,24502,no2,NO2,2020-05-06,2026-04-10
8440,24501,o3,O3,2020-05-06,2026-04-10
8440,5078270,pm25,PM2_5,2023-05-06,2026-04-03
8440,5078273,pm10,PM10,2023-05-06,2026-04-03
7551,21939,o3,O3,2018-01-29,2026-04-10
7551,21840,pm10,PM10,2018-01-28,2026-04-08
7551,21938,no2,NO2,2018-01-29,2026-04-10
7551,21842,pm25,PM2_5,2018-01-28,2026-04-08
7540,21950,no2,NO2,2018-01-29,2026-04-10
7540,21870,o3,O3,2018-01-29,2026-04-10
7540,21820,pm10,PM10,2018-01-28,2026-04-08
7540,21841,pm25,PM2_5,2018-01-28,2026-04-08
7558,5078320,no2,NO2,2022-09-30,2026-04-10
